price(100k),area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
63,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
63,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
63,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
62.93,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
62.65,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
62.3,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
62.3,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
61.95,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
61.95,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
61.95,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
61.6,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
61.6,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
61.25,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
61.075,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
60.9,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
60.9,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
60.9,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
60.83,4300,6,2,2,yes,no,no,no,no,0,no,furnished
60.83,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
60.2,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
60.2,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
60.2,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
59.5,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
59.5,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
59.5,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
59.5,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
59.5,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
59.5,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
59.5,7320,4,2,2,yes,no,no,no,no,0,no,furnished
59.5,6525,3,2,4,yes,no,no,no,no,1,no,furnished
59.43,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
58.8,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
58.8,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
58.73,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
58.73,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
58.66,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
58.1,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
58.1,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
58.1,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
58.03,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
57.75,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
57.4,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
57.4,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
57.4,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
57.4,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
57.4,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
56.525,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
56,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
56,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
56,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
56,5000,3,1,4,yes,no,no,no,no,0,no,furnished
56,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
56,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
56,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
56,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
56,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
55.65,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
55.65,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
55.3,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
55.3,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
55.3,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
55.23,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
54.95,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
54.95,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
54.6,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
54.6,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
54.6,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
54.6,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
54.25,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
53.9,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
53.83,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
53.2,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
52.85,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
52.5,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
52.5,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
52.5,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
52.5,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
52.5,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
52.5,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
52.5,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
52.5,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
52.5,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
52.43,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
52.29,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
52.15,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
52.15,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
52.15,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
51.45,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
51.45,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
51.1,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
51.1,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
51.1,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
51.1,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
50.75,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
50.4,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
50.4,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
50.4,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
50.4,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
50.33,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
50.05,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
49.7,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
49.7,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
49.56,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
49.35,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
49.07,4200,3,1,2,yes,no,no,no,no,1,no,furnished
49,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
49,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
49,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
49,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
49,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
49,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
49,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
49,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
49,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
49,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
49,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
49,12900,3,1,1,yes,no,no,no,no,2,no,furnished
48.93,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
48.93,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
48.65,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
48.3,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
48.3,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
48.3,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
48.3,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
47.95,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
47.95,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
47.67,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
47.6,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
47.6,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
47.6,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
47.53,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
46.9,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
46.9,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
46.9,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
46.9,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
46.9,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
46.9,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
46.55,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
46.2,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
46.2,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
46.2,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
46.2,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
46.2,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
46.13,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
45.85,4000,3,1,2,yes,no,no,no,no,1,no,furnished
45.85,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
45.5,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
45.5,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
45.5,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
45.5,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
45.5,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
45.5,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
45.5,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
45.43,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
45.43,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
45.15,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
45.15,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
45.15,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
45.15,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
44.8,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
44.8,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
44.8,4000,3,1,2,yes,no,no,no,no,2,no,furnished
44.8,8250,3,1,1,yes,no,no,no,no,0,no,furnished
44.8,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
44.73,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
44.73,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
44.73,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
44.45,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
44.1,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
44.1,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
44.03,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
44.03,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
44.03,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
43.82,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
43.75,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
43.4,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
43.4,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
43.4,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
43.4,3500,4,1,2,yes,no,no,no,no,2,no,furnished
43.4,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
43.19,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
43.05,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
43.05,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
42.77,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
42.7,6360,2,1,1,yes,no,no,no,no,0,no,furnished
42.7,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
42.7,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
42.7,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
42.7,4360,4,1,2,yes,no,no,no,no,0,no,furnished
42.7,7770,2,1,1,yes,no,no,no,no,1,no,furnished
42.35,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
42.35,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
42,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
42,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
42,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
42,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
42,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
42,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
42,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
42,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
42,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
42,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
42,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
42,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
42,7000,3,1,1,yes,no,no,no,no,3,no,furnished
42,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
42,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
42,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
42,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
41.93,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
41.93,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
41.65,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
41.65,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
41.65,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
41.3,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
41.3,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
41.23,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
40.985,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
40.95,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
40.95,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
40.95,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
40.6,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
40.6,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
40.6,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
40.6,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
40.6,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
40.25,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
40.25,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
40.25,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
40.075,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
40.075,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
39.9,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
39.9,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
39.9,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
39.9,3960,3,1,2,yes,no,no,no,no,0,no,furnished
39.9,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
39.2,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
39.2,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
39.2,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
39.2,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
39.2,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
39.2,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
39.2,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
38.85,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
38.85,3180,4,2,2,yes,no,no,no,no,0,no,furnished
38.5,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
38.5,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
38.5,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
38.5,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
38.5,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
38.5,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
38.5,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
38.36,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
38.15,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
37.8,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
37.8,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
37.8,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
37.8,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
37.8,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
37.8,8400,2,1,1,yes,no,no,no,no,1,no,furnished
37.73,8250,3,1,1,yes,no,no,no,no,2,no,furnished
37.73,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
37.73,6930,4,1,2,no,no,no,no,no,1,no,furnished
37.45,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
37.1,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
37.1,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
37.1,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
37.1,4050,2,1,1,yes,no,no,no,no,0,no,furnished
37.1,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
37.03,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
37.03,5450,2,1,1,yes,no,no,no,no,0,no,furnished
36.75,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
36.75,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
36.75,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
36.75,3600,2,1,1,yes,no,no,no,no,0,no,furnished
36.4,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
36.4,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
36.4,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
36.4,3000,2,1,2,yes,no,no,no,yes,0,no,furnished
36.4,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
36.4,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
36.4,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
36.4,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
36.4,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
36.33,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
36.05,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
36.05,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
35.7,3150,3,1,2,yes,no,yes,no,no,0,no,furnished
35.7,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
35.7,4500,2,1,1,no,no,no,no,no,0,no,furnished
35.7,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
35.35,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
35,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
35,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
35,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
35,2135,3,2,2,no,no,no,no,no,0,no,unfurnished
35,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
35,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
35,7424,3,1,1,no,no,no,no,no,0,no,unfurnished
35,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished
35,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished
35,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
